Compound;Cluster-ID;SMILES;Final DMSO-stock concentration in mM;KI in uM;Concentration in setup 1 TSA in mM;shift in setup 1 TSA in C;Concentration in setup 2 TSA in mM;shift in setup 2 TSA in C;Cocrystallization Attempt;Crystal Structure;Hit
EN081;c4;CN(C)CC=1C=CC(F)=C(C1)C=2C=CC=3C(C#N)=C(N)NC3C2;1000;174.4;2.5;No curve;0.07;2.89;Yes;7PNS;Yes
EN082;c1;FC(F)(F)C=1C=CC(Cl)=C(CN2CC[C@H](C2)OC=3C=CN=CC3)C1;1000;~5000;1.25;0.50;not measured;not measured;No;-;-
EN083;c3;CN(CC=1C=CC(=CC1)C(=O)N)CC=2C=C(Cl)C=CC2O;400;not active;0.83;-0.01;not measured;not measured;No;-;-
EN084;c2;CCCOC=1C=CC(=NC1)C=2C=CC=3C(O)=NC=CC3C2;7;not measured;not measured;not measured;not measured;not measured;No;-;-
EN085;c3;COC=1C=C(CNCC=2C=CC(=CC2)C(=O)N)C=C3C=CC=CC13;333;not active;2.5;1.12;0.07;0.40;No;-;-
EN086;c4;NCC1(CCOCC1)C=2C=CC=C(C2)C=3C=CC(N)=C(C#N)C3;1000;390.2;2.5;6.81;0.07;2.49;Yes;7PIF;Yes
EN087;c3;NC(=O)C=1C=CC(CNCC=2C=CC=3C=CC=CC3C2F)=CC1;500;could not be plotted;0.83;2.26;0.07;1.08;No;-;-
EN088;c4;NC=1C=CC(C=C2CCCNC2)=C(Cl)C1C#N;500;85.8;2.5;6.07;0.07;2.01;Yes;7PIG;Yes
EN089;c1;COC1(CNC(=O)N2CCN(CC2)C=3C=CN=CC3C)CCCS(=O)(=O)C1;500;354.3;2.5;3.79;0.07;0.68;Yes;-;-
EN090;c1;I.COCC1CN=C(N1)N2CCN(CC2)C=3C=CN=CC3Cl;500;139.3;2.5;5.84;0.07;1.30;Yes;Yes;No
EN091;c2;CC1(C)CCCC1OC(=O)C2CCCN(C2)C3=CC(=O)NC=N3;48;not measured;not measured;not measured;not measured;not measured;No;-;-
EN092;c3;NC(=O)C=1C=CC(CNC=2C=C(C#N)C=C(C2)C=3C=CN=CC3)=C(F)C1;1000;~10000;2.5;-0.01;not measured;not measured;No;-;-
EN093 racemic;c2;NC1CCN(CC=2C=CC=C(C2)C=3C=CC=4C(O)=NC=CC4C3)C1;1000;5.6;2.5;7.66;0.07;4.26;Yes;7PIH;Yes
EN094*;c4;CN1C=C(C(N)=N1)C=2C=CC(N)=C(C#N)C2Cl;not measured;not measured;not measured;not measured;not measured;not measured;No;-;-
EN095*;c3;CC=1C=C(NCCS(=O)(=O)C)C=CC1C=2C=CN=CC2;not measured;not measured;not measured;not measured;not measured;not measured;No;-;-
EN096*;c3;CC=1C=C(NCC(O)C=2C=CC=CN2)C=CC1C=3C=CN=CC3;not measured;not measured;not measured;not measured;not measured;not measured;No;-;-
EN097*;c2;Cl.FC=1C=CC=2C(=O)NCCC2C1C=C3CCNC3;not measured;not measured;not measured;not measured;not measured;not measured;No;-;-
EN098*;c1;NC(=O)C=1C=CC(CNS(=O)(=O)N2CCCOCC2)=CC1;not measured;not measured;not measured;not measured;not measured;not measured;No;-;-
EN099*;c2;FC1(CS(=O)(=O)N2CCN(CC2)C=3C=CNC(=O)C3)CCCCC1;not measured;not measured;not measured;not measured;not measured;not measured;No;-;-
EN100*;c1;NC(=O)C=1C=CC(=CC1)C(=O)NC=2NN=C3C=CC(F)=C(Br)C23;not measured;not measured;not measured;not measured;not measured;not measured;No;-;-
EN101*;c2;CSC=1C=C(C=CC1NC(=O)C)C(=O)N2CCCC3=C2C=C(C)NC3=O;not measured;not measured;not measured;not measured;not measured;not measured;No;-;-
EN102*;c1;Cl.CC(C)(C)C=1C=CC(=CC1)C2(CCCC2)NCC=3C=CC(=CC3)C(=O)N;not measured;not measured;not measured;not measured;not measured;not measured;No;-;-
EN103*;c1;CNC(=O)CC1=NC(CS(=O)CC=2C=CC(=CC2)C(=O)N)=CS1;not measured;not measured;not measured;not measured;not measured;not measured;No;-;-
EN104*;c1;Cl.COC(=O)C=CC1=CC=C(CNCC=2C=CC(=CC2)C(=O)N)O1;not measured;not measured;not measured;not measured;not measured;not measured;No;-;-
EN105*;c4;CC(=O)C=1C=CC=C(NCCCC2=NNC(N)=C2C#N)N1;not measured;not measured;not measured;not measured;not measured;not measured;No;-;-
EN106*;c2;CC=1C=C2CCC(NCC3CCNC(=O)C3)C2=C(C)C1;not measured;not measured;not measured;not measured;not measured;not measured;No;-;-
